MAP_ID,AGENCY_ID,INTID,DATE,COUNTY,SYNCHRO_ID,ROAD1,ROAD2,ROAD3,CITY1,IS_SIGNALIZED,ZONE,TMC_DONE,TMC_DATE,LATITUDE,LONGITUDE,AM_PEAK,PM_PEAK,NORTH_LEG_IN_TOTAL,NORTH_LEG_OUT_TOTAL,NORTH_LEG_IN_AM_PEAK,NORTH_LEG_OUT_AM_PEAK,NORTH_LEG_IN_PM_PEAK,NORTH_LEG_OUT_PM_PEAK,SOUTH_LEG_IN_TOTAL,SOUTH_LEG_OUT_TOTAL,SOUTH_LEG_IN_AM_PEAK,SOUTH_LEG_OUT_AM_PEAK,SOUTH_LEG_IN_PM_PEAK,SOUTH_LEG_OUT_PM_PEAK,EAST_LEG_IN_TOTAL,EAST_LEG_OUT_TOTAL,EAST_LEG_IN_AM_PEAK,EAST_LEG_OUT_AM_PEAK,EAST_LEG_IN_PM_PEAK,EAST_LEG_OUT_PM_PEAK,WEST_LEG_IN_TOTAL,WEST_LEG_OUT_TOTAL,WEST_LEG_IN_AM_PEAK,WEST_LEG_OUT_AM_PEAK,WEST_LEG_IN_PM_PEAK,WEST_LEG_OUT_PM_PEAK
193_1,193,1,2/23/2011 12:00:00 AM,-,1,11TH STREET NW,K STREET NW,,-,True,-,Yes,2/23/2011 12:00:00 AM,38.9025241,-77.0270444,06:30-09:30,15:30-18:30,2655,1781,1237,434,1202,1180,2021,3045,495,1461,1370,1335,1490,1870,575,407,710,1319,3075,2545,909,914,1887,1335
193_2,193,2,3/3/2011 12:00:00 AM,-,2,11TH STREET NW,M STREET NW,,-,True,-,Yes,3/3/2011 12:00:00 AM,38.905637,-77.027041,06:30-09:30,15:30-18:30,1639,1380,781,287,806,1068,1598,1338,362,633,1205,664,121,969,54,314,62,633,745,416,223,186,508,216
193_3,193,3,2/23/2011 12:00:00 AM,-,3,11TH STREET NW,N STREET NW,,-,True,-,Yes,2/23/2011 12:00:00 AM,38.9072421,-77.0270333,06:30-09:30,15:30-18:30,1652,1275,837,272,716,894,1306,1548,272,717,921,728,608,507,237,130,332,318,527,763,133,360,339,368
193_4,193,4,2/9/2011 12:00:00 AM,-,4,11TH STREET NW,O STREET NW,,-,False,-,Yes,2/9/2011 12:00:00 AM,38.9085253831587,-77.0270240306854,06:30-09:30,15:30-18:30,2012,1319,1097,343,867,941,1281,1953,332,1058,909,842,270,370,128,122,133,239,319,240,99,133,216,103
193_5,193,5,2/16/2011 12:00:00 AM,-,5,11TH STREET NW,P STREET NW,,-,True,-,Yes,2/16/2011 12:00:00 AM,38.9096451,-77.0270339,06:30-09:30,15:30-18:30,1347,2082,295,1175,1026,850,2059,1305,1177,316,828,960,540,705,175,298,350,396,777,631,329,187,432,430
193_6,193,6,2/9/2011 12:00:00 AM,-,6,11TH STREET NW,Q STREET NW,,-,True,-,Yes,2/9/2011 12:00:00 AM,38.9111213,-77.0270354,06:30-09:30,15:30-18:30,1276,1012,539,267,710,716,905,1373,246,587,632,756,0,1386,0,350,0,1015,1592,2,419,0,1147,2
193_7,193,7,2/17/2011 12:00:00 AM,-,7,11TH STREET NW,MASSACHUSETTS AVENUE NW,,-,True,-,Yes,2/17/2011 12:00:00 AM,38.9039642,-77.0270535,06:30-09:30,15:30-18:30,1390,1356,707,364,629,957,1504,1847,375,890,1094,904,4222,4097,1851,1512,2113,2457,4475,4291,1691,1858,2653,2171
193_8,193,8,2/15/2011 12:00:00 AM,-,8,11TH STREET NW,RHODE ISLAND AVENUE NW,,-,True,-,Yes,2/15/2011 12:00:00 AM,38.91063,-77.0270222,06:30-09:30,15:30-18:30,1085,2504,402,1695,642,755,1675,1190,677,347,960,805,3440,6359,1761,3455,1615,2691,7172,3319,4467,1810,2476,1442
193_9,193,9,2/10/2011 12:00:00 AM,-,9,18TH STREET SE,INDEPENDENCE AVENUE SE,,-,False,-,Yes,2/10/2011 12:00:00 AM,38.887589,-76.978996,06:30-09:30,15:30-18:30,688,133,447,25,188,96,225,675,33,435,173,190,0,6166,0,900,0,4880,6061,0,880,0,4805,0
193_10,193,10,1/5/2016 12:00:00 AM,-,10,10TH STREET NE,MARYLAND AVENUE NE,,-,False,-,Yes,1/5/2016 12:00:00 AM,38.8963315,-76.9926381,06:30-09:30,15:30-18:30,857,618,227,261,406,177,840,921,392,249,218,423,3501,2846,2031,482,593,1403,2795,3608,477,2135,1384,598
